position,champion,key,games_played,kda,win_rate,pick_rate,ban_rate,cs,gold
top,Qiyana,qiyana,1947,1.91,49.357986646122235,0.06,1.71,187.67,12712
top,Ekko,ekko,5221,1.88,49.37751388622869,0.16,3.58,187.76,12422
top,Aurora,aurora,15109,2.21,49.39440068833146,0.46,2.14,189.12,11913
top,Ahri,ahri,4209,2.18,49.41791399382276,0.13,4.63,192.7,11890
top,Cho'Gath,chogath,152755,1.96,49.42555071847076,4.68,2.15,180.46,11938
top,Zoe,zoe,1434,2.27,49.442119944211996,0.04,3.09,171.14,11292
top,Yone,yone,113068,1.59,49.46227049209325,3.47,4.6,205.8,12611
top,Pantheon,pantheon,64207,2.08,49.52731010637469,1.97,3.12,163.61,11898
top,Kennen,kennen,48239,1.96,49.553266029561144,1.48,0.96,177.87,11825
top,Ivern,ivern,3392,2.32,49.61674528301887,0.1,0.66,147.02,10544
top,Katarina,katarina,2676,1.91,49.62630792227205,0.08,6.18,171.79,12262
top,Olaf,olaf,62282,1.7,49.63713432452394,1.91,1.07,189.08,12667
top,Vex,vex,1522,2.03,49.67148488830486,0.05,3.16,181.62,12073
top,Jax,jax,144542,1.64,49.69074732603672,4.43,12.65,181.57,12287
top,Volibear,volibear,107171,1.69,49.70561065960008,3.29,4.78,182.44,12155
top,Briar,briar,12401,1.64,49.70566889766954,0.38,17.79,165.59,12640
top,Renekton,renekton,130912,1.91,49.73340870202884,4.01,2.66,197.97,12308
top,Nocturne,nocturne,3437,1.81,49.75269130055281,0.11,6.32,190.76,12713
top,Lissandra,lissandra,3479,2.14,49.755676918654785,0.11,0.68,196.19,12087
top,Taliyah,taliyah,1024,1.9,49.8046875,0.03,0.26,195.21,12033
top,Akali,akali,37904,2.13,49.852258336850994,1.16,11.75,176.66,12102
top,Zed,zed,6810,2.17,49.882525697503674,0.21,14.05,197.48,13395
top,Brand,brand,8372,1.9,49.92833253702819,0.26,6.59,179.11,11691
top,Malzahar,malzahar,16559,1.84,49.97282444592065,0.51,18.03,227.36,13012
top,Lux,lux,2330,2.38,50.0,0.07,13.65,182.38,11817
top,LeBlanc,leblanc,1794,2.47,50.0,0.06,7.7,169.27,11826
top,Irelia,irelia,105928,1.59,50.0887395211842,3.25,7.57,221.0,13437
top,Wukong,monkeyking,26756,2.02,50.119599342203614,0.82,0.71,180.37,12563
top,Zeri,zeri,1034,1.77,50.19342359767892,0.03,0.28,210.44,13127
top,Kog'Maw,kogmaw,1964,1.65,50.25458248472505,0.06,0.69,193.27,13519
top,Tahm Kench,tahmkench,55983,2.3,50.30991551006555,1.72,3.3,156.05,11316
top,Shen,shen,114346,2.8,50.32445385059381,3.51,0.93,162.09,10980
top,Ornn,ornn,93138,2.36,50.34142884751659,2.86,0.5,179.85,11089
top,Veigar,veigar,7075,2.01,50.34628975265017,0.22,3.23,194.37,12696
top,Varus,varus,17855,1.88,50.3612433492019,0.55,0.53,185.08,13098
top,Heimerdinger,heimerdinger,62255,1.69,50.41201509918882,1.91,4.45,190.15,12175
top,Zac,zac,14111,2.39,50.65551697257459,0.43,1.35,169.45,11272
top,Morgana,morgana,4531,2.4,50.67314058706687,0.14,22.61,178.72,11392
top,Anivia,anivia,6866,2.29,50.801048645499556,0.21,2.08,191.19,11672
top,Kayle,kayle,184087,1.79,50.85856144105776,5.64,5.5,212.55,12663
top,Nasus,nasus,156364,1.96,50.892788621421815,4.79,3.91,185.45,12055
top,Teemo,teemo,226757,1.8,51.06567823705552,6.95,18.34,186.1,12264
top,Warwick,warwick,48676,1.81,51.10526748294848,1.49,10.47,175.33,12251
top,Sion,sion,155308,1.77,51.133875911092794,4.76,2.27,211.89,13141
top,Naafiri,naafiri,16940,2.18,51.18654073199528,0.52,6.29,198.93,13035
top,Viktor,viktor,3517,2.0,51.236849587716804,0.11,2.22,195.41,11947
top,Garen,garen,319515,1.97,51.28022158584103,9.8,7.9,207.35,13134
top,Xayah,xayah,505,1.53,51.28712871287129,0.02,0.37,188.15,11831
top,Mordekaiser,mordekaiser,241462,1.9,51.360462515841,7.4,12.14,177.4,12120
top,Zilean,zilean,2747,2.96,51.36512559155443,0.08,1.12,165.22,10139
top,Illaoi,illaoi,120015,1.6,51.54355705536808,3.68,9.33,199.34,12447
top,Swain,swain,62161,2.26,51.59344283393125,1.91,8.84,180.3,11442
top,Malphite,malphite,223692,2.56,51.75330364966114,6.86,30.61,177.73,11424
top,Singed,singed,119347,1.83,51.75580450283627,3.66,1.73,233.41,12930
top,Syndra,syndra,1731,2.04,51.76198729058348,0.05,4.07,198.82,12770
top,Kled,kled,55640,2.14,51.77210639827462,1.71,0.97,177.56,12381
top,Yorick,yorick,177097,1.84,51.89359503548903,5.43,14.49,208.13,12778
top,Dr. Mundo,drmundo,243461,1.94,51.917144840446724,7.46,17.8,195.48,12094
top,Sett,sett,238099,1.73,52.23625466717626,7.3,4.47,179.15,12445
top,Urgot,urgot,141588,2.03,52.24312794869622,4.34,2.9,195.42,12976
top,Hwei,hwei,1793,2.11,52.48187395426659,0.05,1.79,187.45,11839
top,Rek'Sai,reksai,7180,2.11,52.82729805013927,0.22,0.64,174.33,11849
jungle,Yuumi,yuumi,370,1.53,13.243243243243244,0.01,2.45,66.89,6211
jungle,Renata Glasc,renata,25,1.36,16.0,0.0,0.1,104.52,7578
jungle,Azir,azir,69,1.15,18.84057971014493,0.0,0.28,164.75,10524
jungle,Soraka,soraka,138,2.19,19.565217391304348,0.0,2.15,117.72,8796
jungle,Milio,milio,45,1.77,20.0,0.0,4.66,103.98,8155
jungle,Gangplank,gangplank,147,1.59,21.768707482993197,0.0,0.6,176.9,11705
jungle,Vladimir,vladimir,96,1.08,21.875,0.0,2.33,155.18,9749
jungle,Nami,nami,62,2.42,22.58064516129032,0.0,1.96,103.71,8374
jungle,Sivir,sivir,79,1.36,22.78481012658228,0.0,0.9,187.89,10631
jungle,Akali,akali,204,1.55,23.03921568627451,0.01,8.01,143.11,10919
jungle,Smolder,smolder,158,1.41,24.050632911392405,0.01,3.63,172.94,10871
jungle,Syndra,syndra,52,1.67,25.0,0.0,2.28,132.12,10239
jungle,Sona,sona,71,2.14,25.352112676056336,0.0,0.4,111.77,8876
jungle,Bard,bard,278,1.67,26.258992805755394,0.01,1.4,127.81,9435
jungle,Blitzcrank,blitzcrank,575,1.62,27.652173913043477,0.02,12.86,124.42,9732
jungle,Zoe,zoe,86,1.73,27.906976744186046,0.0,2.48,139.45,10300
jungle,Alistar,alistar,428,1.66,28.037383177570092,0.01,0.77,117.27,9187
jungle,Vel'Koz,velkoz,92,1.74,28.26086956521739,0.0,1.7,150.83,11102
jungle,Rakan,rakan,80,2.13,28.749999999999996,0.0,0.16,128.5,9974
jungle,Thresh,thresh,377,1.76,29.177718832891248,0.01,2.24,141.07,10404
jungle,Aurora,aurora,159,1.61,30.18867924528302,0.01,1.56,156.6,10990
jungle,Annie,annie,121,1.98,30.57851239669421,0.0,0.58,147.09,10759
jungle,Pyke,pyke,449,1.72,30.734966592427615,0.01,16.02,123.29,11177
jungle,Zilean,zilean,42,2.15,30.952380952380953,0.0,0.87,114.9,8621
jungle,Tristana,tristana,324,1.62,31.17283950617284,0.01,3.97,190.36,12741
jungle,Yunara,yunara,192,1.63,31.25,0.01,1.59,186.73,11683
jungle,Kalista,kalista,67,1.17,31.343283582089555,0.0,0.12,140.73,9882
jungle,Katarina,katarina,353,1.81,31.444759206798867,0.01,4.77,162.58,11814
jungle,Vex,vex,60,1.64,31.666666666666664,0.0,2.33,146.58,10458
jungle,Braum,braum,298,1.95,32.21476510067114,0.01,2.08,142.63,10448
jungle,Kog'Maw,kogmaw,164,1.85,32.31707317073171,0.01,0.5,186.43,12488
jungle,Aphelios,aphelios,117,1.47,32.47863247863248,0.0,1.87,180.31,11705
jungle,Caitlyn,caitlyn,305,1.58,32.78688524590164,0.01,14.75,184.98,12331
jungle,Ashe,ashe,506,1.7,33.39920948616601,0.02,5.68,166.87,11068
jungle,Karma,karma,107,2.34,33.64485981308411,0.0,1.44,120.68,9331
jungle,Lissandra,lissandra,142,2.26,33.80281690140845,0.0,0.44,166.77,11549
jungle,Miss Fortune,missfortune,242,1.7,33.88429752066116,0.01,16.5,183.63,12845
jungle,Lucian,lucian,121,1.69,33.88429752066116,0.0,1.31,182.78,12213
jungle,Akshan,akshan,335,1.66,34.02985074626866,0.01,3.05,155.75,11956
jungle,Fiora,fiora,243,1.65,34.15637860082305,0.01,2.92,177.27,11781
jungle,Janna,janna,99,2.25,34.34343434343434,0.0,0.54,125.26,9547
jungle,Samira,samira,290,1.5,34.48275862068966,0.01,4.24,175.02,12221
jungle,Ahri,ahri,270,2.24,34.81481481481482,0.01,3.41,176.76,11819
jungle,Renekton,renekton,720,1.62,35.41666666666667,0.02,2.22,170.17,11449
jungle,Veigar,veigar,138,1.73,35.507246376811594,0.0,2.34,170.67,11982
jungle,Mel,mel,258,2.02,35.65891472868217,0.01,35.55,171.11,12576
jungle,Kassadin,kassadin,182,1.49,35.714285714285715,0.01,0.99,164.89,11993
jungle,Jhin,jhin,755,2.35,36.29139072847682,0.02,3.74,184.9,12918
